indicator.id;indicator.long_name;indicator.description;indicator.code;indicator.unit_id
671;Наличие основных фондов на конец года по полной учетной стоимости по коммерческим организациям муниципальной формы собственности;;C700;7
725;Доля налоговых и неналоговых доходов местного бюджета (за исключением поступлений налоговых доходов по дополнительным нормативам отчисл�;;C759;7
676;Начисленный за отчетный год учетный износ основных фондов (амортизация и износ, отражаемые в бухгалтерском учете и отчетности) по некоммер;;C705;7
223;Среднесписочная численность работников организаций, в том числе по ОКВЭД: Раздел Е Водоснабжение/ водоотведение, организация сбора и утил;;C226;13
1234;Доля личного транспорта в общем пассажиропотоке;введенно для транспорта/GIH;C1294;3
1235;Переменные расходы проекта (GIH);введенно для транспорта/GIH;C1295;7
1236;Постоянные расходы проекта (GIH);введенно для транспорта/GIH;C1296;7
1237;Доходы проекта (GIH);введенно для транспорта/GIH;C1297;7
98;Молодые семьи на учете в качестве нуждающихся в жилых помещениях;;C100;15
99;Число семей, получивших жилые помещ. и улучшивших жилищные условия, в т.ч.:;;C101;15
100;Многодетные семьи получившие жилые помещения;;C102;15
101;Молодые семьи получившие жилые помещения;;C103;15
83;Матрицы удельного потребления, A;;C085;7
82;Матрицы удельного выпуска, E;;C084;7
855;Суммарный прирост (убыль) численности населения;;C936;13
949;Доля работников малых и микропредприятий в общей численности рабочей силы;;C1033;3
982;Заемные средства (На 31 декабря предыдущего года);;C454;7
20;Численность населения 18—19 лет;;C021;13
902;Торговые объекты;;C776;32
713;-ПОКАЗАТЕЛЬ ОТМЕНЕН- Мощность поликлиник;;C744;22
703;Общая площадь плоскостных спортивных сооружений;;C734;34
704;Общая площадь зеркала воды в бассейнах общего пользования;;C735;34
708;-ПОКАЗАТЕЛЬ ОТМЕНЕН- Число мест в дошкольных образовательных организациях (РНГП);;C739;18
277;Среднемесячная заработная плата работников организаций, в том числе по ОКВЭД Раздел S Предоставление прочих видов услуг;;C280;20
710;Обеспеченность местами в общеобразовательных организациях (РНГП);;C741;3
738;Изменение запасов материальных оборотных средств;;C772;7
756;Рентабельность оборотных средств;;C798;39
777;Доступность дошкольного образования (по формуле из Закона о Нац. проектах);;C823;3
778;Доступность первичных медицинских организаций;;C825;3
780;Смертность в ДТП;;C827;13
812;Среднесписочная численность работников проекта;;C867;13
813;Изменение количества рабочих мест, всего;;C868;13
814;Изменение количества рабочих мест, высококвалифицированных;;C869;13
815;Изменение количества рабочих мест средней квалификации;;C870;13
816;Изменение количества рабочих мест низкоквалифицированных;;C871;13
822;Объемы производства продукции;;C880;43
823;Потери при производстве продукции;;C883;43
824;Объемы продаж продукции;;C886;43
827;Цена (тариф) на продажу одной единицы продукции;;C895;44
833;Внутренняя площадь зданий необходимая для реализации проекта, всего;;C903;14
848;Прирост общей жилой площади помещений;;C919;14
852;Коэффициент выбытия;;C933;8
854;Коэффициент миграционного прироста (убыли);;C935;8
712;Обеспеченность больничными койками;;C743;18
707;-ПОКАЗАТЕЛЬ ОТМЕНЕН- Обеспеченность местами в дошкольных образовательных организациях;;C738;18
709;-ПОКАЗАТЕЛЬ ОТМЕНЕН- Обеспеченность местами в общеобразовательных организациях;;C740;18
723;Интегральная обеспеченность ОСЭН;;C757;3
681;Полная себестоимость;Эверпоинт выводит его как "Затраты организаций отрасли" C944 (выручка - чистая прибыль);C711;7
87;Число спортивных сооружений;;C089;4
95;Ввод в действие индивидуальных жилых домов;;C097;14
88;Число стадионов с трибунами;;C090;4
850;Коэффициент смертности;;C931;8
853;Коэффициент естественного прироста (убыли);;C934;8
371;Финансовый результат убыточных организаций, Раздел M Деятельность профессиональная, научная и техническая;;C374;7
1035;Медиана показателя рентабельности оборотных средств (город, сценарий, период);;C1001;39
294;Прибыль (убыток) до налогообложения отчётного года, Раздел P Образование;;C297;7
668;Денежные доходы населения;;C697;7
370;Финансовый результат убыточных организаций, Раздел L Деятельность, операциям с недвижимым имуществом;;C373;7
379;Финансовый результат прибыльных организаций, Раздел А Сельское, лесное хозяйство, охота, рыболовство и рыбоводство;;C382;7
880;Число посещений организаций культуры;;C971;4
378;Финансовый результат прибыльных организаций, всего, в т.ч.:;;C381;7
89;Число плоскостных спортивных сооружений;;C091;4
94;Введено в действие жилых домов (МКД и ИЖС);;C096;14
240;Фонд заработной платы всех работников организаций, в том числе по ОКВЭД Раздел В Добыча полезных ископаемых;;C243;7
696;Обеспеченность торговыми площадями;;C727;33
697;Количество библиотек;;C728;32
621;прочие поступления (За отчетный год);;C650;7
373;Финансовый результат убыточных организаций, Раздел O Государственное управление и обеспечение военной безопасности/ социальное обеспече;;C376;7
699;Количество мест в театрах;;C730;18
730;Налоги за вычетом субсидий на продукты;;C764;7
731;Другие налоги (за вычетом субсидий) на производство;;C765;7
732;Потребление основного капитала;;C766;7
733;Чистая прибыль (чистый смешанный доход);;C767;7
740;Налоги на совокупный доход (по ИПЦ);;C777;7
750;Потенциальный спрос на новый объект на прогнозный год;;C788;7
753;Региональные нормы обеспеченности по видам объектов ОСЭН;;C791;37
754;Объем конечного спроса на продукцию;;C792;38
694;Одиночное протяжение уличной канализационной сети, нуждающейся в замене (до 2008 г. - км);;C725;19
726;Площадь торгового зала объектов розничной торговли;;C760;34
764;Удельные кап. вложения на строительство ед. мощности объектов ОСЭН;;C807;42
767;Доля граждан, проживающая в изношенном и аварийном жилом фонде;;C810;3
782;Объем необходимых капитальных вложений в инвестиционный проект;;C833;7
326;Дебиторская задолженность, Раздел Н Транспортировка и хранение;;C329;7
327;Дебиторская задолженность, Раздел I Деятельность гостиниц и предприятий общественного питания;;C330;7
318;Дебиторская задолженность, всего;;C321;7
351;Кредиторская задолженнось, Раздел M Деятельность профессиональная, научная и техническая;;C354;7
768;Инвестиции по видам источников финансирования (собственные источники, привлеченные источники, бюджетные средства и пр.);;C811;7
781;Уровень загрязнения атмосферного воздуха;;C828;38
825;Запасы продукции;;C889;43
770;Инвестиции по видам капитальных работ (новое строительства, реконструкция;;C813;7
771;Инвестиции по предмету инвестирования (денежные средства, ценные бумами, основные фонды, нематериальные активы, имещественные и иные парв�;;C814;7
772;Занятость населения;;C815;3
755;Эффективность использования материальных ресурсов;;C797;39
741;Оборотные средства;;C778;7
736;Расходы некоммерческих организаций, обслуживающих домашние хозяйства;;C770;7
727;Выпуск в основных ценах;В некотором контексте приравнивается объемам производства, но в ценах покупателя;C761;7
783;Объем необходимых капитальных вложений, в том числе за счет средств Банка;;C834;7
784;Объем необходимых капитальных вложений, в том числе за счет средств инвесторов;;C835;7
785;Объем необходимых капитальных вложений, в том числе за счет субсидий;;C836;7
786;Объем необходимых капитальных вложений, в том числе за счет собственного или акционерного капитала;;C837;7
787;Объем необходимых капитальных вложений в том числе из прибыли проекта;;C838;7
788;Объем необходимых капитальных вложений в том числе из прочих заемных средств (кроме средств банка);;C839;7
810;Объем налоговых отчислений в федеральный бюджет;;C865;7
811;Чистая прибыль проекта к распределению;;C866;7
817;Объем фонда оплаты труда проекта;;C872;7
818;Фонды оплаты труда высококвалифицированных рабочих мест;;C874;7
819;Фонды оплаты труда рабочих мест средней квалификации;;C875;7
820;Фонды оплаты труда низкоквалифицированных рабочих мест;;C876;7
821;Мощность производства;;C877;43
237;Среднесписочная численность работников организаций, в том числе по ОКВЭД: Раздел S Предоставление прочих видов услуг;;C240;13
885;Увеличение на 15% числа посещений организаций культуры, % (НП. Культура);;C990;3
241;Фонд заработной платы всех работников организаций, в том числе по ОКВЭД Раздел C Обрабатывающие производства;;C244;7
766;Валовое накопление капитала;;C809;7
329;Дебиторская задолженность, Раздел K Деятельность финансовая и страховая;;C332;7
354;Кредиторская задолженнось, Раздел P Образование;;C357;7
355;Кредиторская задолженнось, Раздел Q Деятельность в области здравоохранения и социальных услуг;;C358;7
330;Дебиторская задолженность, Раздел L Деятельность, операциям с недвижимым имуществом;;C333;7
331;Дебиторская задолженность, Раздел M Деятельность профессиональная, научная и техническая;;C334;7
789;Объем необходимых капитальных вложений в проектную деятельность (оборотные вложения);;C841;7
828;Площадь земельных участков вовлеченных в оборот в целях жилищного строительства;;C898;45
829;Площадь земельных участков необходимая для реализации проекта, жилых зон;;C899;45
831;Площадь земельных участков необходимая для реализации проекта, общественно-деловых зон;;C901;45
835;Внутренняя площадь зданий необходимая для реализации проекта, деловая;;C905;14
836;Внутренняя площадь зданий необходимая для реализации проекта, прочая;;C906;14
837;Производство твердых коммунальных и промышленных отходов;;C907;16
841;Срок погашения кредита;;C911;1
842;Объем государственных субсидий на погашение процентов по кредиту;;C912;7
843;NPV (Net present value) — чистая приведённая стоимость;;C913;7
844;IRR (Internal Rate of Return) — внутренняя норма доходности;;C914;3
845;Срок окупаемости капитальных вложений;;C915;1
846;Срок жизненного цикла проекта;;C917;1
847;Необлагаемые налогами доходы населения («серая» заработная плата);;C918;7
856;Коэффициент суммарного прироста (убыли) численности населения;;C937;8
861;Изменение оборотных фондов;;C950;7
881;Матрица мультипликатора b;;C984;31
350;Кредиторская задолженнось, Раздел L Деятельность, операциям с недвижимым имуществом;;C353;7
365;Финансовый результат убыточных организаций, Раздел G Торговля оптовая и розничная/ ремонт автотранспортных средств и мотоциклов;;C368;7
945;Количество магазинов на душу населения;;C1031;47
338;Кредиторская задолженнось, всего, в т.ч.:;;C341;7
692;Число детей 0-6 лет;;C723;13
220;Среднесписочная численность работников организаций, в том числе по ОКВЭД: Раздел В Добыча полезных ископаемых;;C223;13
366;Финансовый результат убыточных организаций, Раздел Н Транспортировка и хранение;;C369;7
356;Кредиторская задолженнось, Раздел R Деятельность в области культуры, спорта, организации досуга и развлечений;;C359;7
743;Налог на прибыль;;C780;7
745;Инвестиции в нематериальные фоды (Дубль С653);;C782;7
746;Инвестиции в материальные фонды (Дубль С652);;C783;7
742;Производственная мощность (в массовых еденицах. Г);;C779;36
734;Расходы домашних хозяйств на конечное потребление;;C768;7
915;Величина капитала на 31 декабря предыдущего года (Резервный капитал);;C520;7
752;Обязательные платежи и взносы населения;;C790;7
790;Объем необходимых капитальных вложений в основные фонды (капитальные вложения);;C842;7
886;Доля граждан, систематически занимающихся физической культурой и спортом, % (НП. Здравоохранение);;C991;3
388;Финансовый результат прибыльных организаций, Раздел J Деятельность в области информации и связи;;C391;7
887;Обеспечение оптимальной доступности для населения медицинских организаций, % (НП. Здравоохранение);;C993;3
890;Вклад проекта в валовый продукт на душу населения;;C997;40
807;Объем налоговых отчислений;;C862;7
500;Изменение отложенных налоговых активов (За отчетный период);;C505;7
891;Доля населения, проживающего в пределах 20-минутной пешей доступности от школьных учреждений;;C998;3
224;Среднесписочная численность работников организаций, в том числе по ОКВЭД: Раздел F Строительство;;C227;13
394;Финансовый результат прибыльных организаций, Раздел P Образование;;C397;7
757;Фондоотдача или эфф. использ. внеоборотных (основных) средств, руб./руб.;;C799;39
791;Общая выручка проекта;;C843;7
792;Выручка проекта от внутригородского сбыта;;C844;7
793;Выручка проекта от внутрироссийского сбыта;;C845;7
796;Инвестиционный денежный поток;;C848;7
797;капитальные вложения;;C849;7
798;Себестоимость продаж по проекту;;C850;7
830;Площадь земельных участков необходимая для реализации проекта, производственных зон;;C900;45
883;Доля твердых коммунальных отходов, направленных на переработку в общем объеме образованных твердых коммунальных отходов, % (НП. Экология);;C988;3
892;Доля населения, проживающего в пределах 15-минутной пешей доступности от хотя бы одного продуктового магазина;;C999;3
219;Среднесписочная численность работников организаций, в том числе по ОКВЭД: Раздел А Сельское, лесное хозяйство, охота, рыболовство и рыбово�;;C222;13
799;Амортизация основных фондов по проекту;;C851;7
801;Операционные затраты инвестиционной фазы проекта, в т.ч.;;C853;7
802;Операционный денежный поток;;C854;7
803;Капитальные вложения;;C855;7
953;Налог на доходы физических лиц, собираемых с жителей города;;C1036;7
954;Ставка налога на доходы физических лиц, НДФЛ;;C1037;3
955;Доля НДФЛ, передаваемая в местные бюджеты;;C1038;3
956;Налог на доходы физических лиц (статья доходов регионального бюджета)  ;;C1039;7
957;Сбережения населения;;C1040;3
959;Доля трудоспособного населения;;C1041;3
804;Объем расходов эксплуатационной фазы проекта;;C859;7
960;Конечное потребление от выпуска по балансам;;C1042;7
961;Профицит (дефицит) по конечному потреблению (потенциал инвестиций в торговлю);;C1043;7
805;Амортизация основных фондов;;C860;7
806;Прибыль проекта до налогообложения;;C861;7
877;Отноешение долей отраслей РФ и города;;C967;3
595;Изменение добавочного капитала (Нераспределенная прибыль (непокрытый убыток));;C617;7
598;Величина капитала на 31 декабря отчетного года (Собственные акции, выкупленные у акционеров);;C626;7
343;Кредиторская задолженнось, Раздел Е Водоснабжение/ водоотведение, организация сбора и утилизация отходов, деятельность, ликвидации загрязнений;;C346;7
719;Численность лиц, обслуженных за год отделеними при центрах социального обслуживания граждан пожилого возраста и инвалидов;;C750;13
849;Коэффициент рождаемости;;C930;8
809;Объем налоговых отчислений в региональный бюджет;;C864;7
862;Совокупное потребеление;;C951;7
863;Конечное потребление;;C952;7
864;Чистое потребление;;C953;7
866;ФОТ без соц. отчислений;;C955;7
868;ФОТ с соц. отчислениями;;C957;7
870;Соц. отчисления с ФОТ;;C960;7
871;Добавленная стоимость по доходам;;C961;7
872;Добавленная стоимость города;;C962;7
873;Выручка;;C963;7
357;Кредиторская задолженнось, Раздел S Предоставление прочих видов услуг;;C360;7
893;Потенциальный объем сбыта продукции в целевых регионах продаж;;C1000;7
894;Удельная валовая добавленная стоимость на душу населения;;C1005;40
896;Расходы бюджета на душу населения;;C1020;40
942;Число объектов бытового обслуживания населения, оказывающих услуги, на душу населения;;C1028;47
962;Выпуск, обеспечивающий спрос;;C1044;7
963;Профицит (дефицит) производства (потенциал инвестиций в производство);;C1045;7
964;Итого, промежуточное потребление (конечное использование);;C1046;7
888;Затраты организаций;''В CityBalance используется в 2х трактовках С711 "Себестоимость полная" и Затраты равные выпуску;C994;7
1036;Медиана показателя фондоотдача (город, сценарий, период);;C1002;39
979;Спрос в ценах производителя;Используется в расчете комплексных решений. Расчет от реализации Дефицита/Рыночной ниши;C1051;7
980;Рыночная ниша (внутригородская);Используется в расчете комплексных решений. Сценарный вариант равный Импорту (из региона) - дефицит собственного производства;C1052;7
973;Дополнительные объемы смежного производства;;C1050;13
941;Инвестиционный потенциал по жилищной обеспеченности;;C987;7
1;Ожидаемая продолжительность жизни при рождении;;C002;1
3;Доля населения с доходом ниже прожиточного минимума;;C004;3
4;Количество семей, улучшивших жилищные условия;;C005;4
5;Доля организаций осуществляющих технологические инновации;;C006;3
6;Реальный прирост ВРП к предыдущему году;Он же I009;C007;2
7;Качество городской среды (Минстрой);;C008;5
8;Рост численности населения;Он же I008;C009;3
10;Внутренние затраты на развитие цифровой экономики за счет всех источников по доле в валовом внутреннем продукте страны;;C011;7
11;Увеличение внутренних затрат на развитие цифровой экономики за счет всех источников (по доле в валовом внутреннем продукте страны);;C012;7
969;Конечное потребление, обеспеченное выпуском согласно данных бухбалансов;;C1047;7
970;Затраты предприятий согласно таблиц затраты-выпуск;;C1048;7
35;Естественный прирост (убыль);;C036;13
967;Профицит мощности;Используется в City Balance модели;C878;7
33;Число родившихся;;C034;13
111;Дошкольные образовательные организации (ДОО);;C114;4
103;Выданных разрешений на ввод объекта в эксплуатацию;;C105;4
105;Количество объектов имеющих стационарные источники;;C107;4
112;Число мест в дошкольных образовательных организациях;;C115;18
113;Численность работников дошкольных образовательных организаций;;C116;13
114;Численность детей посещающих дошкольные образовательные организации;;C117;13
115;Численность детей стоящих на учете для определения в ДОО;;C118;13
116;Число общеобразовательных организаций;;C119;4
121;Химическая чистка и крашение, услуги прачечных;;C124;4
122;Услуги бань и душевых;;C125;4
123;Услуги парикмахерских;;C126;4
124;Ремонт, окраска и пошив обуви;;C127;4
125;Ремонт и пошив швейных, меховых и кожаных изделий и проч.;;C128;4
126;Изготовление и ремонт мебели;;C129;4
127;Ремонт и строительство жилья и других построек;;C130;4
128;Услуги фотоателье;;C131;4
129;Ритуальные услуги;;C132;4
130;Прочие виды бытовых услуг;;C133;4
131;Единовременная вместимость бань, душевых и саун;;C134;18
120;Техническое обслуживание и ремонт транспортных средств, машин и проч.;;C123;4
132;Число кресел в парикмахерских (салонах красоты);;C135;18
133;Число коллективных средств размещения (отели, гостиницы, хостелы);;C136;4
135;Одиночное протяжение уличной газовой сети;;C138;19
136;Одиночное протяжение уличной газовой сети, нуждающейся в замене и ремонте;;C139;19
138;Тепловых и паровых сетей;;C141;19
119;Ремонт и тех. обсл. бытовой радиоэлектронной аппаратуры и проч.;;C122;4
152;Продукция растениеводства (в фактически действовавших ценах);;C155;20
153;Продукция животноводства (в фактически действовавших ценах);;C156;20
171;Численность обслуживаемых на дому граждан пожилого возраста и инвалидов;;C174;13
139;Протяженность тепловых и паровых сетей, нуждающихся в замене;;C142;19
140;Протяженность тепл. и пар. сетей, которые были заменены и отремонтированы;;C143;19
141;Одиночное протяжение уличной водопроводной сети;;C144;19
144;Число источников теплоснабжения;;C147;4
157;Число поликник для взрослых;;C160;4
148;Число проживающих в ветхих жилых домах;;C151;13
1002;Ввод в действие жилых домов на душу населения;Показатель ОЭСР;C1084;24
149;Число проживающих в аварийных жилых домах;;C152;13
154;Наличие сельхоз техники в сельхоз организациях;;C157;4
155;Посевные площади сельскохозяйственных культур;;C158;21
159;Число стоматологических поликлиник;;C162;4
160;Число поликлинических акушерско-гинекологические отделений (кабинетов);;C163;4
161;Число бригад скорой помощи;;C164;4
164;Численность врачей всех специальностей (без зубных);;C167;4
869;Прибыль;;C959;7
168;Число мест в стационарных учреждениях соц. обсл.для граждан пожилого возраста и инвалидов;;C171;18
158;Число детских поликлиник;;C161;4
165;Численность среднего медицинского персонала;;C168;4
166;Число лечебно-профилактических организаций;;C169;4
169;Числ.граждан пожилого возраста и инвалидов по списку в стац. уч. соц. обсл.;;C172;13
170;Число отделений соц. обсл. на дому граждан пожилого возраста и инвалидов;;C173;4
172;Число семей, получавщих субсидии на оплату жил. помещения и комм. услуг;;C175;15
173;Числ.граждан, пользующихся льготами по оплате жил. помещения и комм. услуг;;C176;13
174;Сумма субсидий населению на оплату жилого помещения и коммунальных услуг;;C177;12
175;Объем средств, на предоставление соц. поддержки по оплате жил. помещения и комм.;;C178;12
213;Универмаги;;C216;4
143;Одиночное протяжение уличной водопр. сети, которая заменена и отремонтирована;;C146;19
948;Площадь торговых объектов на душу населения;;C1032;24
205;Павильоны;;C208;4
177;Численность работников организаций культурно-досугового типа;;C180;13
179;Численность работников в библиотеках;;C182;13
180;Число профессиональных театров;;C183;4
181;Численность работников профессиональных театров, всего;;C184;13
182;Число парков культуры и отдыха (городских садов);;C185;4
183;Численность работников парков культуры и отдыха (городских садов);;C186;13
184;Число детских муз., худ., хореографических школ и школ искусств;;C187;4
185;Численность работников детских муз., худ., хореограф.школ и школ искусств;;C188;13
196;Удельная величина потребления электрической энергии в многоквартирных домах на одного проживающего;;C199;25
197;Удельная величина потребления тепловой энергии в многоквартирных домах на 1 кв. м. общей площади;;C200;26
198;Удельная величина потребления горячей воды в многоквартирных домах на одного проживающего;;C201;27
918;переоценка имущества (Резервный капитал);;C538;7
199;Удельная величина потребления холодной воды в многоквартирных домах на одного проживающего;;C202;27
200;Удельная величина потребления природного газа в многоквартирных домах на одного проживающего;;C203;27
201;Общая площадь жилых помещений, приходящаяся в среднем на одного жителя – всего;;C204;24
204;Количество магазинов;;C207;4
206;Палатки и киоски;;C209;4
207;Аптеки и аптечные магазины;;C210;4
208;Общедоступные столовые,закусочные;;C211;4
334;Дебиторская задолженность, Раздел P Образование;;C337;7
209;Столовые учебных заведений, организаций,промышленных предприятий;;C212;4
210;Гипермаркеты;;C213;4
986;Укрупненные нормативы цены строительства;;C1068;12
214;Специализированные продовольственные магазины;;C217;4
215;Специализированные непродовольственные магазины;;C218;4
217;Автозаправочные станции;;C220;4
280;Прибыль (убыток) до налогообложения отчётного года, Раздел В Добыча,лезных ископаемых;;C283;7
281;Прибыль (убыток) до налогообложения отчётного года, Раздел C Обрабатывающие производства;;C284;7
282;Прибыль (убыток) до налогообложения отчётного года, Раздел D Обеспечение электрической энергией, газом и паром/ кондиционирование воздуха;;C285;7
381;Финансовый результат прибыльных организаций, Раздел C Обрабатывающие производства;;C384;7
994;Количество субъектов МСП в отраслях городской экономики на душу населения;Показатель ОЭСР;C1076;49
995;Средняя численность работников в расчете на 1 субъекта МСП;Показатель ОЭСР;C1077;50
996;Прирост выручки в расчете на 1 субъекта МСП-юридическое лицо;Показатель ОЭСР;C1078;2
998;Доля налоговых отчислений субъектов МСП в объеме налоговых отчислений предприятий и организаций города;Показатель ОЭСР;C1080;3
1001;Количество вывезенных ТКО (кг на душу населения);Показатель ОЭСР;C1083;51
1003;Отношение среднегодовой стоимости 1 кв. м жилья и среднемесячной заработной платы;Показатель ОЭСР;C1085;3
1005;Отношение протяженности тепловых и паровых сетей, нуждающейся в замене, к общей протяженности тепловых и паровых сетей;Показатель ОЭСР;C1087;3
1006;Отношение протяженности уличной водопроводной сети, нуждающейся в замене, к общей протяженности уличной водопроводной сети;Показатель ОЭСР;C1088;3
1004;Уровень рождаемости (отн.);Показатель ОЭСР;C1086;52
999;Располагаемые доходы домохозяйств;Показатель ОЭСР;C1081;57
283;Прибыль (убыток) до налогообложения отчётного года, Раздел Е Водоснабжение/ водоотведение, организация сбора и утилизация отходов, деятель;;C286;7
295;Прибыль (убыток) до налогообложения отчётного года, Раздел Q Деятельность в области здравоохранения и социальных услуг;;C298;7
927;уменьшение номинальной стоимости акций (Резервный капитал);;C592;7
928;уменьшение количества акций (Резервный капитал);;C598;7
929;реорганизация юридического лица (Резервный капитал);;C604;7
930;дивиденды (Резервный капитал);;C610;7
931;Изменение добавочного капитала (Резервный капитал);;C616;7
932;Изменение резервного капитала (Уставный капитал);;C619;7
1026;Устойчивость отрасли к воздействию негативных внешних факторов;;C805;3
1038;Медиана показателя эффективность использования материальных ресурсов;;C1004;39
1008;Просроченная задолженность по кредитам, предоставленным юридическим лицам - резидентам и индивидуальным предпринимателям, по ОКВЭД2;Кредиты и сбережения. Данные по состоянию на 01.01. Источник данных http://cbr.ru/statistics/bank_sector/sors/;C1090;7
1009;Задолженность. Информация о кредитах, предоставленных юридическим лицам - резидентам и индивидуальным предпринимателям в рублях, иностранной валюте и драгоценных металлах;Кредиты и сбережения. Данные по состоянию на 01.01. Источник данных http://cbr.ru/statistics/bank_sector/sors/;C1091;7
1014;Средства на счетах организаций в рублях, иностранной валюте и драгоценных металлах;Кредиты и сбережения. Данные по состоянию на 01.01. Источник данных http://cbr.ru/statistics/bank_sector/sors/;C1096;7
1000;Среднемесячная заработная плата на одного работника;Показатель ОЭСР;C1082;57
641;Сальдо денежных потоков за отчетный периодс;;C670;7
447;Заемные средства (На 31 декабря предыдущего года);;C452;7
451;Оценочные обязательства (На 31 декабря предыдущего года);;C456;7
463;Оценочные обязательства (На 31 декабря предыдущего года);;C468;7
465;Прочие обязательства (На 31 декабря предыдущего года);;C470;7
477;Коммерческие расходы (За аналогичный период предыдущего года);;C482;7
479;Управленческие расходы (За аналогичный период предыдущего года);;C484;7
457;Заемные средства (На 31 декабря предыдущего года);;C462;7
943;Оборот розничной торговли на душу населения;;C1029;40
944;Количество ресторанов, кафе и баров на душу населения;;C1030;47
1027;Обеспеченность местами в поликлиниках;;C1012;3
958;Итого использование (ресурсов);Сумма конечного использования (C775) и расходов на конечное потребление (C952);C881;3
974;Инвестиционный потенциал по повышению фондоотдачи;;C978;7
975;Инвестиционный потенциал по повышению рентабельности оборотных средств;;C979;7
976;Инвестиционный потенциал по повышению производительности труда;;C980;7
1039;Медиана показателя рентабельности производства;;C1023;39
1023;Вклады (депозиты) и другие привлеченные средства физических лиц (без учета средств на счетах эскроу);Кредиты и сбережения. Данные по состоянию на 01.01. Источник данных http://cbr.ru/statistics/bank_sector/sors/;C1105;7
1024;Средства на счетах эскроу в рублях;Кредиты и сбережения. Данные по состоянию на 01.01. Источник данных http://cbr.ru/statistics/bank_sector/sors/;C1106;7
